Time	N	Total Energy	Total Internal Energy	Total Radiation Energy	Boundary Emission	Lost Energy
===============================================================================================================
0.000000	100000	0.000600	0.000600	0.000000	0.000000	0.000000
9.200000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
9.300000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
9.400000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
9.500000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
9.600000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
9.700000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
9.800000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
9.900000	200054	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan
10.000000	54	nan	nan	3075231225364370732681241676544543180286562013882025439563795091608779561119526683789278314496.000000	0.001028	nan

================================================================================
Simulation Complete
================================================================================

Extracting solutions at output times...
  t = 1.00 ns: N_particles = 54, T_max = nan keV
  t = 5.00 ns: N_particles = 54, T_max = nan keV
  t = 10.00 ns: N_particles = 54, T_max = nan keV

================================================================================
Creating plots...
================================================================================

✓ Saved plot: test_marshak_wave_multigroup.png
✓ Saved comparison plot: test_marshak_wave_multigroup_comparison.png

✓ Saved data: marshak_wave_multigroup_output_10000ps_100000.npz

================================================================================
SUMMARY
================================================================================
Marshak Wave - Multigroup IMC with 5 energy groups
All group opacities set to σ(T) = 300*T^(-3) (identical)

Problem setup:
  Domain: [0, 0.2] cm with 50 cells
  Boundary: T = 1.0 keV at x=0
  Material: e(T) = 0.3*T,  c_v = 0.3 GJ/(g·keV)
  Opacity: σ(T) = 300*T^(-3) (same for all groups)

Simulation completed to t = 10.0 ns
  Final census: 100054 particles

Final snapshot (t = 10.00 ns):
  Max material temperature: nan keV
  Max radiation temperature: 1135760679070769606557696.0000 keV

✓ Since all group opacities are identical, results should match gray IMC
✓ Compare with IMC/MarshakWave.py for validation
✓ Comparison plots show excellent agreement with self-similar solution
================================================================================
